"prs_ResponseID","course","planSPELL"
"R_03agtzokLmpEHT3","JustS","Right Here in Rome, Italy at Our Home || I have a study time table that includes this course || I will take my time and create time for this course || What is key is to have a study plan which I have done "
"R_07d7Iz4S8wyVoaN","AmGov",""
"R_0Bs280HTSvmFbEJ","AmGov"," I have a laptop with reliable internet connection after working hours to use for this course || I also acquire a smart phone which I will be using to read course content while on the move I have planned to visit the course portal every day to read updates and participate in dialogue sessions with colleagues"
"R_0Bt3AsxLJSCmREd","AmGov","I've set a calendar reminder || I've made a commitment to hold myself accountable || I've scheduled time to study at the library || Study with my spouse"
"R_0Ch5zzBfRahC2sh","BioChem","I will work on the content mostly in my home office, and will set up a schedule to work on the course material as the content is released. I will used my skills to overcome obstacles from the course. "
"R_0dfxMUFAZOrwLjX","AmGov"," Set aside specific days and times during the week for study || Use weekends to catch up - if needed || Eliminate distractions - no phones, television during study time || Stay involved in forums"
"R_0dH9FhoJhuS3SlL","JustS","in the morning, before work, Tuesdays and Thursdays || during lunch monday, wednesday, and friday "
"R_0dLQKDUEvUJ6jvz","JustS","During free periods at school when I am not prepping for class is a good time for me to prepare || I will write down in my planner what's upcoming and required || I will put together a plan for the 15 weeks on what needs to be done each week to complete the course / "
"R_0HPrF4uzK341Oj7","BioChem"," at college and during travel || dedicated time daily to spend to watch the videos and do the requirements carry this as a subject of my present coursework"
"R_0IFQhZN0KLwbVBL","JustS",""
"R_0joytlCTa3iUt7r","AmGov","I plan to spend up to 2 hours every day for watching videos, completing coursework || I plan to read books recommended by tutors || I plan to review CNN, NBC and other news reports, governmental websites to watch the Elections progress and to see the US Government in action. || I will contact tutors or engage in a class discussion in case I have any questions or difficulties understanding the course material "
"R_0Jql4rzUOGJ8mFH","AmGov","Keeping myself accountable for completing required assignments || Planning ahead Setting aside one or two days a week to complete assignments "
"R_0kePyUzs0DPg1yN","BioChem"," I plan to spend time engaging the course content in the library on Wednesdays (from around 5pm till 8pm) and Sundays (early in the morning). || In case I have some free time on the other days I will complete the required coursework before Sundays and Wednesdays. So I could use the mentioned days for repetition of the covered topics. I will try to prepare at least one backup plan."
"R_0lHxDFUDqvzdtoF","AmGov","I plan to spend time on this course on any day of the week except Mondays and Thursdays where I have classes. I plan to spend time at a coffeeshop or even at my home. || I will write down in detail all learnings and really indicate in my planner my scheduled class hours on this course. I will respond to obstacles by still giving time on this course after addressing and complying to the obstacle. "
