"ResponseId","topicID","text"
"R_08s7LSsmaof1iQ9","friend_value","I value loyalty and trust the most in a friendship. I think it's very important in any close relationship. I feel like in order for us to be friends, I have to be able to trust you. With trust, then you also need loyalty. "
"R_08s7LSsmaof1iQ9","last_sing","The last time I sang to myself was today, at home. I love to sing and I am always making up silly little songs. I sing in the car, home, shower, and many other places. The last time I sang to someone else was yesterday. I sang a silly rhyming song to my daughter, which was about her."
"R_08s7LSsmaof1iQ9","garden","Well, I do have some plants and trees around my home. We have lived her around 16 years so we started planted them the first year we moved in. I have a Weeping Willow tree by the creek that was a wee tiny guy when we planted him 15 years ago. He is strong and beautiful. But, I also have many other trees and plants in my front and back yard, with many varieties. "
"R_08s7LSsmaof1iQ9","fire_rescue","Well, after I saved all of my loved ones and pets, I would go back to save my great grandmother's quilt. My mother gave me this quilt when her mother had to go to the nursing home. Her mother, so my great grandmother, made the quilt many years ago. She made it from cloth scraps from the children's old clothing, sheets, etc. My grandmother passed away last year and it's very special to me, it can't be replaced. While I almost would have got a family photo album, many of those photos my mother has so I can make copies of most pictures. "
"R_08s7LSsmaof1iQ9","religious","I am religious. I was raised in the church all my life. I believe there is a God, afterlife and a Heaven or Hell. I am because I like to think there is something beyond our life on this Earth and death. Something wonderful, greater and beautiful. "
"R_08s7LSsmaof1iQ9","how_raised","I had a wonderful childhood and fantastic parents. My sister and I never went without and always felt loved and protected. But, if I was going to change one thing, I would change my father showing his love a bit more openly. I've always known and felt loved by my father, but he had a hard time in displays of affection. Even with my mother. He didn't get much from his parents as a child and it's hard for him to physically and verbally show affection, as he really never got it during his childhood."
"R_08s7LSsmaof1iQ9","like_work","I am a Production Control Clerk at a company. I like that it is in an office setting and there is a close group of coworkers in the office. I enjoy the work, to a point. My job entails that I have to be very attentive and accurate, more than speed. But, I try my best to do well at being attentive, accurate and fast. It's personally important to my values that I put forth my best effort in my job. "
"R_08s7LSsmaof1iQ9","famous","I don't think that I would really want to be famous. But, if I was going to be famous, I would want to be famous for a talent of mine. Not so much as acting, or being a celebrity. I would like to be famous for being an author. I would want to be known in creating intriguing, funny, captivating and not-want-the-story-to-end novels."
"R_08s7LSsmaof1iQ9","strangest","The strangest thing about where I grew up would be that it was at a dead end road, very remote. One had to cross a bridge, through a closed gate and another bridge to get to our home. There were no street lights and it was pitch black at night. I loved it, but it's strange how dark it would be when you went outside, where you couldn't even see your hand in front of your face."
"R_08s7LSsmaof1iQ9","why_studies","I do online studies for a few reasons. I find them to be interesting and I enjoy them. I also like to know I am contributing in some way, that I may be helping make something better. I also enjoy a little extra pocket change. So, several reasons that I do them."
"R_08s7LSsmaof1iQ9","mind_body","I would rather have the mind of a 30 year old. My grandmother had Alzheimer's and I see how hard and sad it is to not have an active mind. She would often not know who we were, which is very tragic. I would take an active, young mind over the body any day.  "
"R_08s7LSsmaof1iQ9","cute_baby","One very cute thing I saw a baby do was with one of my own children. They were in their little walker, running around the house. They had been active and playing one moment, but the next moment I looked at them, they were laying face down on their tray, fast asleep. It was so adorable!"
"R_0AgAAgcQ10zKLzr","strangest","The strangest thing about where I grew up would probably have to be that near my small town there is a haunted place.  It is supposed to be a haunted asylum called the Rolling Hills.  What makes it even creepier is that I went there one time for a sort of flea market that was hosted at that very asylum when I was very young.  They do not do that anymore, they stopped doing it shortly after I went.  It was very creepy and strange.  "
"R_0AgAAgcQ10zKLzr","cute_baby","When I was at my friend's house his little cousin was over.  He was just a child and every time his mother would tell him ""no"", he would get upset and jump up in the air and land on his butt.  We all thought it was so funny and cute. "
"R_0AgAAgcQ10zKLzr","fire_rescue","It would be my baby blanket.  Even though it is very ragged and old, I would save  that item.  It has a lot of sentimental value to me.  "
"R_0AgAAgcQ10zKLzr","famous","I don't think I would like to be famous.   I would not want to be known by a lot of people.  I like to keep to myself and live a private life."
"R_0AgAAgcQ10zKLzr","how_raised","I had an amazing childhood.  I don't think there is really anything that I would change.  It was almost too good to be true, like a story out of a book."
"R_0AgAAgcQ10zKLzr","why_studies","I do these online studies to learn.  Also, to make some money from Amazon Mechanical Turk.  I have found the whole experience quite positive.  "
"R_0AgAAgcQ10zKLzr","garden","Yes, I have a small garden with some plants.  I do not have any fruit trees however.  I grow some carrots and tomatoes in my garden in my backyard."
"R_0AgAAgcQ10zKLzr","like_work","I was a tutor for middle school students.  I like interacting with the young students.  It was a very rewarding and enjoyable experience.  "
"R_0AgAAgcQ10zKLzr","religious","No, I am not a very religious person.  I don't go to church or anything like that.  I am a very spiritual person however."
"R_0AgAAgcQ10zKLzr","last_sing","I have never sang to anyone before.  I perhaps sing to myself in the shower or the car.  I'm not a very good singer at all.  "
"R_0AgAAgcQ10zKLzr","mind_body","I would choose the body of a 30 year old.   I think my mind will stay sharp.  I would just want a body of a 30 year old to stay strong and healthy."
"R_0AgAAgcQ10zKLzr","friend_value","The thing I value most in a friendship is honesty.  If you can have honesty, you can have trust.  These are the building blocks of a true friendship, if you can be honest and trust each other then it is a great friendship.  "
"R_0AqV0iyoxN5T8Ln","why_studies","Look at it this way: I'm here sitting bored at work, and I'm not doing anything else. So i'm making my base salary, plus whatever bonus I get from working on here. It almost feels like free extra money."
"R_0AqV0iyoxN5T8Ln","cute_baby","Watching a baby struggle to roll over is cute to me. The helplessness of it. To think that we are all born so vulnerable is cute to me for some reason"
"R_0AqV0iyoxN5T8Ln","strangest","Well, it's more sad than strange. It used to be incredibly rural where I grew up. Just a few houses scattered around, huge fields of grass. Now that's all gone, replaced by tract houses and manicured lawns and a movie theater."
"R_0AqV0iyoxN5T8Ln","like_work","I'm a secretary for a local church. I mostly keep track of the social media side of the church. I like it because it's easy, it pays well, and I'm mostly left alone to do my business. Autonomy kicks butt."
"R_0AqV0iyoxN5T8Ln","famous","No, I absolutely would not want to be famous. Being famous means the ends of privacy, which I love too much. I would much rather be rich instead of famous."
"R_0AqV0iyoxN5T8Ln","how_raised","I was always a very shy person growing up. I feel like I missed out on a lot because I wasn't outgoing enough. I would love to live my teen years over again and not be so terribly emo and shy."
